2024-08-07 17:42:31,679 INFO    StreamThr :5697 [internal.py:wandb_internal():86] W&B internal server running at pid: 5697, started at: 2024-08-07 17:42:31.679428
2024-08-07 17:42:31,680 DEBUG   HandlerThread:5697 [handler.py:handle_request():146] handle_request: status
2024-08-07 17:42:31,681 INFO    WriterThread:5697 [datastore.py:open_for_write():85] open: /home/rwkv/JL/GMM/llama/wandb/run-20240807_174231-2nqbyuy9/run-2nqbyuy9.wandb
2024-08-07 17:42:31,681 DEBUG   SenderThread:5697 [sender.py:send():382] send: header
2024-08-07 17:42:31,683 DEBUG   SenderThread:5697 [sender.py:send():382] send: run
2024-08-07 17:42:31,853 INFO    SenderThread:5697 [dir_watcher.py:__init__():211] watching files in: /home/rwkv/JL/GMM/llama/wandb/run-20240807_174231-2nqbyuy9/files
2024-08-07 17:42:31,853 INFO    SenderThread:5697 [sender.py:_start_run_threads():1136] run started: 2nqbyuy9 with start time 1723023751.679514
2024-08-07 17:42:31,859 DEBUG   HandlerThread:5697 [handler.py:handle_request():146] handle_request: check_version
2024-08-07 17:42:31,860 DEBUG   SenderThread:5697 [sender.py:send_request():409] send_request: check_version
2024-08-07 17:42:31,965 DEBUG   HandlerThread:5697 [handler.py:handle_request():146] handle_request: run_start
2024-08-07 17:42:31,969 DEBUG   HandlerThread:5697 [system_info.py:__init__():32] System info init
2024-08-07 17:42:31,969 DEBUG   HandlerThread:5697 [system_info.py:__init__():47] System info init done
2024-08-07 17:42:31,969 INFO    HandlerThread:5697 [system_monitor.py:start():194] Starting system monitor
2024-08-07 17:42:31,969 INFO    SystemMonitor:5697 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-07 17:42:31,969 INFO    HandlerThread:5697 [system_monitor.py:probe():214] Collecting system info
2024-08-07 17:42:31,970 INFO    SystemMonitor:5697 [interfaces.py:start():190] Started cpu monitoring
2024-08-07 17:42:31,970 INFO    SystemMonitor:5697 [interfaces.py:start():190] Started disk monitoring
2024-08-07 17:42:31,970 INFO    SystemMonitor:5697 [interfaces.py:start():190] Started gpu monitoring
2024-08-07 17:42:31,971 INFO    SystemMonitor:5697 [interfaces.py:start():190] Started memory monitoring
2024-08-07 17:42:31,971 INFO    SystemMonitor:5697 [interfaces.py:start():190] Started network monitoring
2024-08-07 17:42:31,980 DEBUG   HandlerThread:5697 [system_info.py:probe():196] Probing system
2024-08-07 17:42:31,981 DEBUG   HandlerThread:5697 [system_info.py:_probe_git():181] Probing git
2024-08-07 17:42:31,983 DEBUG   HandlerThread:5697 [system_info.py:_probe_git():189] Probing git done
