2024-08-06 15:59:38,737 INFO    StreamThr :2045039 [internal.py:wandb_internal():86] W&B internal server running at pid: 2045039, started at: 2024-08-06 15:59:38.737311
2024-08-06 15:59:38,738 DEBUG   HandlerThread:2045039 [handler.py:handle_request():146] handle_request: status
2024-08-06 15:59:38,739 INFO    WriterThread:2045039 [datastore.py:open_for_write():85] open: /home/rwkv/JL/GMM/llama/wandb/run-20240806_155938-y6h0adoc/run-y6h0adoc.wandb
2024-08-06 15:59:38,739 DEBUG   SenderThread:2045039 [sender.py:send():382] send: header
2024-08-06 15:59:38,739 DEBUG   SenderThread:2045039 [sender.py:send():382] send: run
2024-08-06 15:59:38,964 INFO    SenderThread:2045039 [dir_watcher.py:__init__():211] watching files in: /home/rwkv/JL/GMM/llama/wandb/run-20240806_155938-y6h0adoc/files
2024-08-06 15:59:38,964 INFO    SenderThread:2045039 [sender.py:_start_run_threads():1136] run started: y6h0adoc with start time 1722931178.737206
2024-08-06 15:59:38,971 DEBUG   HandlerThread:2045039 [handler.py:handle_request():146] handle_request: check_version
2024-08-06 15:59:38,971 DEBUG   SenderThread:2045039 [sender.py:send_request():409] send_request: check_version
2024-08-06 15:59:39,080 DEBUG   HandlerThread:2045039 [handler.py:handle_request():146] handle_request: run_start
2024-08-06 15:59:39,084 DEBUG   HandlerThread:2045039 [system_info.py:__init__():32] System info init
2024-08-06 15:59:39,084 DEBUG   HandlerThread:2045039 [system_info.py:__init__():47] System info init done
2024-08-06 15:59:39,084 INFO    HandlerThread:2045039 [system_monitor.py:start():194] Starting system monitor
2024-08-06 15:59:39,084 INFO    SystemMonitor:2045039 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-06 15:59:39,084 INFO    HandlerThread:2045039 [system_monitor.py:probe():214] Collecting system info
2024-08-06 15:59:39,084 INFO    SystemMonitor:2045039 [interfaces.py:start():190] Started cpu monitoring
2024-08-06 15:59:39,085 INFO    SystemMonitor:2045039 [interfaces.py:start():190] Started disk monitoring
2024-08-06 15:59:39,085 INFO    SystemMonitor:2045039 [interfaces.py:start():190] Started gpu monitoring
2024-08-06 15:59:39,085 INFO    SystemMonitor:2045039 [interfaces.py:start():190] Started memory monitoring
2024-08-06 15:59:39,086 INFO    SystemMonitor:2045039 [interfaces.py:start():190] Started network monitoring
2024-08-06 15:59:39,094 DEBUG   HandlerThread:2045039 [system_info.py:probe():196] Probing system
2024-08-06 15:59:39,095 DEBUG   HandlerThread:2045039 [system_info.py:_probe_git():181] Probing git
2024-08-06 15:59:39,098 DEBUG   HandlerThread:2045039 [system_info.py:_probe_git():189] Probing git done
2024-08-06 15:59:39,098 DEBUG   HandlerThread:2045039 [system_info.py:probe():244] Probing system done
