2024-08-08 20:05:15,489 INFO    StreamThr :345978 [internal.py:wandb_internal():86] W&B internal server running at pid: 345978, started at: 2024-08-08 20:05:15.489046
2024-08-08 20:05:15,490 DEBUG   HandlerThread:345978 [handler.py:handle_request():146] handle_request: status
2024-08-08 20:05:15,491 INFO    WriterThread:345978 [datastore.py:open_for_write():85] open: /home/rwkv/JL/GMM/llama/wandb/run-20240808_200515-rg1j7cha/run-rg1j7cha.wandb
2024-08-08 20:05:15,491 DEBUG   SenderThread:345978 [sender.py:send():382] send: header
2024-08-08 20:05:15,522 DEBUG   SenderThread:345978 [sender.py:send():382] send: run
2024-08-08 20:05:15,771 INFO    SenderThread:345978 [dir_watcher.py:__init__():211] watching files in: /home/rwkv/JL/GMM/llama/wandb/run-20240808_200515-rg1j7cha/files
2024-08-08 20:05:15,771 INFO    SenderThread:345978 [sender.py:_start_run_threads():1136] run started: rg1j7cha with start time 1723118715.488999
2024-08-08 20:05:15,784 DEBUG   HandlerThread:345978 [handler.py:handle_request():146] handle_request: check_version
2024-08-08 20:05:15,785 DEBUG   SenderThread:345978 [sender.py:send_request():409] send_request: check_version
2024-08-08 20:05:15,906 DEBUG   HandlerThread:345978 [handler.py:handle_request():146] handle_request: run_start
2024-08-08 20:05:15,916 DEBUG   HandlerThread:345978 [system_info.py:__init__():32] System info init
2024-08-08 20:05:15,916 DEBUG   HandlerThread:345978 [system_info.py:__init__():47] System info init done
2024-08-08 20:05:15,916 INFO    HandlerThread:345978 [system_monitor.py:start():194] Starting system monitor
2024-08-08 20:05:15,917 INFO    SystemMonitor:345978 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-08 20:05:15,917 INFO    HandlerThread:345978 [system_monitor.py:probe():214] Collecting system info
2024-08-08 20:05:15,917 INFO    SystemMonitor:345978 [interfaces.py:start():190] Started cpu monitoring
2024-08-08 20:05:15,918 INFO    SystemMonitor:345978 [interfaces.py:start():190] Started disk monitoring
2024-08-08 20:05:15,919 INFO    SystemMonitor:345978 [interfaces.py:start():190] Started gpu monitoring
2024-08-08 20:05:15,919 INFO    SystemMonitor:345978 [interfaces.py:start():190] Started memory monitoring
2024-08-08 20:05:15,920 INFO    SystemMonitor:345978 [interfaces.py:start():190] Started network monitoring
2024-08-08 20:05:15,926 DEBUG   HandlerThread:345978 [system_info.py:probe():196] Probing system
2024-08-08 20:05:15,927 DEBUG   HandlerThread:345978 [system_info.py:_probe_git():181] Probing git
2024-08-08 20:05:15,930 DEBUG   HandlerThread:345978 [system_info.py:_probe_git():189] Probing git done
2024-08-08 20:05:15,930 DEBUG   HandlerThread:345978 [system_info.py:probe():244] Probing system done
